NAMASTE_Code,NAMASTE_Display,NAMASTE_Traditional,NAMASTE_System,ICD11_Code,ICD11_Description,Mapping_Confidence,Confidence_Level,Mapping_Method,Last_Updated
AY2830,Constipation - Vibandha Vataja,,Unknown,ME05.0,constipation,0.800,High,Optimized Semantic Matching,2025-09-04
AY2831,Obesity - Medoroga Pittaja,,Unknown,5B81,Obesity,0.800,High,Optimized Semantic Matching,2025-09-04
AY2832,Anemia - Pandu Kaphaja,,Unknown,EF20,Acquired malformations of Cutaneous blood vessels,0.700,High,Optimized Semantic Matching,2025-09-04
AY2833,Psoriasis - Kitibha Sannipataja,,Unknown,EA90,Psoriasis,0.800,High,Optimized Semantic Matching,2025-09-04
AY2834,Eczema - Vicharchika Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY2835,Urticaria - Sheetapitta Acute,,Unknown,EB00.0,Acute Urticaria,0.400,Low,Optimized Semantic Matching,2025-09-04
AY2836,Rheumatism - Amavata,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY2837,Epilepsy - Apasmara Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY2838,Diarrhea - Atisara Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY2839,Cough - Kasa Kaphaja,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
AY2840,Cold - Pratishyaya Sannipataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY2841,Hemorrhoids - Arsha Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY2842,Urinary Stones - Ashmari Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY2843,Jaundice - Kamala,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY2844,Leucorrhea - Shweta Pradara Vataja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY2845,Impotence - Klaibya Pittaja,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
AY2846,Gout - Vatarakta Kaphaja,,Unknown,FA25,Gout,0.800,High,Optimized Semantic Matching,2025-09-04
AY2847,Sciatica - Gridhrasi Sannipataja,,Unknown,ME84.3,sciatica,0.800,High,Optimized Semantic Matching,2025-09-04
SD0001,Fever - Suram,,Unknown,1C30.2,Typhus fever due to Rickettsia typhi,0.700,High,Optimized Semantic Matching,2025-09-04
SD0002,Diabetes - Neerizhevu Vatham,,Unknown,5A11,Type 2 diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
SD0003,Hypertension - Ratha Azhutham Pitham,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0004,Arthritis - Keel Vayu Kabam,,Unknown,FA20,Rheumatoid arthritis,0.700,High,Optimized Semantic Matching,2025-09-04
SD0005,Asthma - Irumal Chronic,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
SD0006,Headache - Thalai Noi Acute,,Unknown,8A81,TensionType headache,0.700,High,Optimized Semantic Matching,2025-09-04
SD0007,Gastritis - Gunmam Primary,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
SD0008,Skin Disease - Thole Noi,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0009,Liver Disease - Kal Noi Vatham,,Unknown,2C12.02,hepatocellular carcinoma of liver,0.700,High,Optimized Semantic Matching,2025-09-04
SD0010,Kidney Disease - Siruneer Noi Pitham,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0011,Eye Disease - Kan Noi Kabam,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0012,Ear Disease - Kadhu Noi Chronic,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0013,Mental Disorder - Mana Noi Acute,,Unknown,QA02.3,"observation for Suspected mental or behavioural disorders, ruled out",0.700,High,Optimized Semantic Matching,2025-09-04
SD0014,Blood Disease - Ratha Noi Primary,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0015,Bone Disease - Elumbu Noi,,Unknown,2E82.0,Benign chondrogenic tumours of bone or articular cartilage of limbs,0.700,High,Optimized Semantic Matching,2025-09-04
SD0016,Paralysis - Pakka Vatham Vatham,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0017,Epilepsy - Vali Noi Pitham,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0018,Diarrhea - Kallichal Kabam,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0019,Cough - Irumal Kanam Chronic,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
SD0020,Cold - Sanni Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0021,Fever - Suram Primary,,Unknown,1D2Z,"Dengue fever, unspecified",0.700,High,Optimized Semantic Matching,2025-09-04
SD0022,Diabetes - Neerizhevu,,Unknown,5A11,Type 2 diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
SD0023,Hypertension - Ratha Azhutham Vatham,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0024,Arthritis - Keel Vayu Pitham,,Unknown,FA20,Rheumatoid arthritis,0.700,High,Optimized Semantic Matching,2025-09-04
SD0025,Asthma - Irumal Kabam,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
SD0026,Headache - Thalai Noi Chronic,,Unknown,8A81,TensionType headache,0.700,High,Optimized Semantic Matching,2025-09-04
SD0027,Gastritis - Gunmam Acute,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
SD0028,Skin Disease - Thole Noi Primary,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0029,Liver Disease - Kal Noi,,Unknown,2C12.02,hepatocellular carcinoma of liver,0.700,High,Optimized Semantic Matching,2025-09-04
SD0030,Kidney Disease - Siruneer Noi Vatham,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0031,Eye Disease - Kan Noi Pitham,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0032,Ear Disease - Kadhu Noi Kabam,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0033,Mental Disorder - Mana Noi Chronic,,Unknown,QA02.3,"observation for Suspected mental or behavioural disorders, ruled out",0.700,High,Optimized Semantic Matching,2025-09-04
SD0034,Blood Disease - Ratha Noi Acute,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0035,Bone Disease - Elumbu Noi Primary,,Unknown,2E82.0,Benign chondrogenic tumours of bone or articular cartilage of limbs,0.700,High,Optimized Semantic Matching,2025-09-04
SD0036,Paralysis - Pakka Vatham,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0037,Epilepsy - Vali Noi Vatham,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0038,Diarrhea - Kallichal Pitham,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0039,Cough - Irumal Kanam Kabam,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
SD0040,Cold - Sanni Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0041,Fever - Suram Acute,,Unknown,1D2Z,"Dengue fever, unspecified",0.700,High,Optimized Semantic Matching,2025-09-04
SD0042,Diabetes - Neerizhevu Primary,,Unknown,QA0A.10,special screening examination for diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
SD0043,Hypertension - Ratha Azhutham,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0044,Arthritis - Keel Vayu Vatham,,Unknown,FA20,Rheumatoid arthritis,0.700,High,Optimized Semantic Matching,2025-09-04
SD0045,Asthma - Irumal Pitham,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
SD0046,Headache - Thalai Noi Kabam,,Unknown,JB0C.5,Spinal or epidural Anaesthesiainduced headache during labour or delivery,0.700,High,Optimized Semantic Matching,2025-09-04
SD0047,Gastritis - Gunmam Chronic,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
SD0048,Skin Disease - Thole Noi Acute,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0049,Liver Disease - Kal Noi Primary,,Unknown,2C12.02,hepatocellular carcinoma of liver,0.700,High,Optimized Semantic Matching,2025-09-04
SD0050,Kidney Disease - Siruneer Noi,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0051,Eye Disease - Kan Noi Vatham,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0052,Ear Disease - Kadhu Noi Pitham,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0053,Mental Disorder - Mana Noi Kabam,,Unknown,QA02.3,"observation for Suspected mental or behavioural disorders, ruled out",0.700,High,Optimized Semantic Matching,2025-09-04
SD0054,Blood Disease - Ratha Noi Chronic,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0055,Bone Disease - Elumbu Noi Acute,,Unknown,2E82.0,Benign chondrogenic tumours of bone or articular cartilage of limbs,0.700,High,Optimized Semantic Matching,2025-09-04
SD0056,Paralysis - Pakka Vatham Primary,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0057,Epilepsy - Vali Noi,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0058,Diarrhea - Kallichal Vatham,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0059,Cough - Irumal Kanam Pitham,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
SD0060,Cold - Sanni Kabam,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0061,Fever - Suram Chronic,,Unknown,1D2Z,"Dengue fever, unspecified",0.700,High,Optimized Semantic Matching,2025-09-04
SD0062,Diabetes - Neerizhevu Acute,,Unknown,QA0A.10,special screening examination for diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
SD0063,Hypertension - Ratha Azhutham Primary,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0064,Arthritis - Keel Vayu,,Unknown,FA20,Rheumatoid arthritis,0.700,High,Optimized Semantic Matching,2025-09-04
SD0065,Asthma - Irumal Vatham,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
SD0066,Headache - Thalai Noi Pitham,,Unknown,JB0C.5,Spinal or epidural Anaesthesiainduced headache during labour or delivery,0.700,High,Optimized Semantic Matching,2025-09-04
SD0067,Gastritis - Gunmam Kabam,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
SD0068,Skin Disease - Thole Noi Chronic,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0069,Liver Disease - Kal Noi Acute,,Unknown,2C12.02,hepatocellular carcinoma of liver,0.700,High,Optimized Semantic Matching,2025-09-04
SD0070,Kidney Disease - Siruneer Noi Primary,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0071,Eye Disease - Kan Noi,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0072,Ear Disease - Kadhu Noi Vatham,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0073,Mental Disorder - Mana Noi Pitham,,Unknown,QA02.3,"observation for Suspected mental or behavioural disorders, ruled out",0.700,High,Optimized Semantic Matching,2025-09-04
SD0074,Blood Disease - Ratha Noi Kabam,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0075,Bone Disease - Elumbu Noi Chronic,,Unknown,2E82.0,Benign chondrogenic tumours of bone or articular cartilage of limbs,0.700,High,Optimized Semantic Matching,2025-09-04
SD0076,Paralysis - Pakka Vatham Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0077,Epilepsy - Vali Noi Primary,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0078,Diarrhea - Kallichal,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0079,Cough - Irumal Kanam Vatham,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
SD0080,Cold - Sanni Pitham,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0081,Fever - Suram Kabam,,Unknown,1C30.2,Typhus fever due to Rickettsia typhi,0.700,High,Optimized Semantic Matching,2025-09-04
SD0082,Diabetes - Neerizhevu Chronic,,Unknown,QA0A.10,special screening examination for diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
SD0083,Hypertension - Ratha Azhutham Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0084,Arthritis - Keel Vayu Primary,,Unknown,1F02.1,Rubella arthritis,0.700,High,Optimized Semantic Matching,2025-09-04
SD0085,Asthma - Irumal,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
SD0086,Headache - Thalai Noi Vatham,,Unknown,JB0C.5,Spinal or epidural Anaesthesiainduced headache during labour or delivery,0.700,High,Optimized Semantic Matching,2025-09-04
SD0087,Gastritis - Gunmam Pitham,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
SD0088,Skin Disease - Thole Noi Kabam,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0089,Liver Disease - Kal Noi Chronic,,Unknown,2C12.02,hepatocellular carcinoma of liver,0.700,High,Optimized Semantic Matching,2025-09-04
SD0090,Kidney Disease - Siruneer Noi Acute,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0091,Eye Disease - Kan Noi Primary,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0092,Ear Disease - Kadhu Noi,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0093,Mental Disorder - Mana Noi Vatham,,Unknown,QA02.3,"observation for Suspected mental or behavioural disorders, ruled out",0.700,High,Optimized Semantic Matching,2025-09-04
SD0094,Blood Disease - Ratha Noi Pitham,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0095,Bone Disease - Elumbu Noi Kabam,,Unknown,2E82.0,Benign chondrogenic tumours of bone or articular cartilage of limbs,0.700,High,Optimized Semantic Matching,2025-09-04
SD0096,Paralysis - Pakka Vatham Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0097,Epilepsy - Vali Noi Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0098,Diarrhea - Kallichal Primary,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0099,Cough - Irumal Kanam,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
SD0100,Cold - Sanni Vatham,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0101,Fever - Suram Pitham,,Unknown,1C30.2,Typhus fever due to Rickettsia typhi,0.700,High,Optimized Semantic Matching,2025-09-04
SD0102,Diabetes - Neerizhevu Kabam,,Unknown,5A11,Type 2 diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
SD0103,Hypertension - Ratha Azhutham Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0104,Arthritis - Keel Vayu Acute,,Unknown,1B41.1Z,"Acute rheumatic endocarditis, unspecified",0.700,High,Optimized Semantic Matching,2025-09-04
SD0105,Asthma - Irumal Primary,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
SD0106,Headache - Thalai Noi,,Unknown,JB0C.5,Spinal or epidural Anaesthesiainduced headache during labour or delivery,0.700,High,Optimized Semantic Matching,2025-09-04
SD0107,Gastritis - Gunmam Vatham,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
SD0108,Skin Disease - Thole Noi Pitham,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0109,Liver Disease - Kal Noi Kabam,,Unknown,2C12.02,hepatocellular carcinoma of liver,0.700,High,Optimized Semantic Matching,2025-09-04
SD0110,Kidney Disease - Siruneer Noi Chronic,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0111,Eye Disease - Kan Noi Acute,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0112,Ear Disease - Kadhu Noi Primary,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0113,Mental Disorder - Mana Noi,,Unknown,QA02.3,"observation for Suspected mental or behavioural disorders, ruled out",0.700,High,Optimized Semantic Matching,2025-09-04
SD0114,Blood Disease - Ratha Noi Vatham,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0115,Bone Disease - Elumbu Noi Pitham,,Unknown,2E82.0,Benign chondrogenic tumours of bone or articular cartilage of limbs,0.700,High,Optimized Semantic Matching,2025-09-04
SD0116,Paralysis - Pakka Vatham Kabam,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0117,Epilepsy - Vali Noi Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0118,Diarrhea - Kallichal Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0119,Cough - Irumal Kanam Primary,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
SD0120,Cold - Sanni,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0121,Fever - Suram Vatham,,Unknown,1C30.2,Typhus fever due to Rickettsia typhi,0.700,High,Optimized Semantic Matching,2025-09-04
SD0122,Diabetes - Neerizhevu Pitham,,Unknown,5A11,Type 2 diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
SD0123,Hypertension - Ratha Azhutham Kabam,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0124,Arthritis - Keel Vayu Chronic,,Unknown,2A81.7,Diffuse large Bcell lymphoma associated with Chronic inflammation,0.700,High,Optimized Semantic Matching,2025-09-04
SD0125,Asthma - Irumal Acute,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
SD0126,Headache - Thalai Noi Primary,,Unknown,8A81,TensionType headache,0.700,High,Optimized Semantic Matching,2025-09-04
SD0127,Gastritis - Gunmam,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
SD0128,Skin Disease - Thole Noi Vatham,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0129,Liver Disease - Kal Noi Pitham,,Unknown,2C12.02,hepatocellular carcinoma of liver,0.700,High,Optimized Semantic Matching,2025-09-04
SD0130,Kidney Disease - Siruneer Noi Kabam,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0131,Eye Disease - Kan Noi Chronic,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0132,Ear Disease - Kadhu Noi Acute,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0133,Mental Disorder - Mana Noi Primary,,Unknown,QA02.3,"observation for Suspected mental or behavioural disorders, ruled out",0.700,High,Optimized Semantic Matching,2025-09-04
SD0134,Blood Disease - Ratha Noi,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0135,Bone Disease - Elumbu Noi Vatham,,Unknown,2E82.0,Benign chondrogenic tumours of bone or articular cartilage of limbs,0.700,High,Optimized Semantic Matching,2025-09-04
SD0136,Paralysis - Pakka Vatham Pitham,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0137,Epilepsy - Vali Noi Kabam,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0138,Diarrhea - Kallichal Chronic,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0139,Cough - Irumal Kanam Acute,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
SD0140,Cold - Sanni Primary,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0141,Fever - Suram,,Unknown,1C30.2,Typhus fever due to Rickettsia typhi,0.700,High,Optimized Semantic Matching,2025-09-04
SD0142,Diabetes - Neerizhevu Vatham,,Unknown,5A11,Type 2 diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
SD0143,Hypertension - Ratha Azhutham Pitham,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0144,Arthritis - Keel Vayu Kabam,,Unknown,FA20,Rheumatoid arthritis,0.700,High,Optimized Semantic Matching,2025-09-04
SD0145,Asthma - Irumal Chronic,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
SD0146,Headache - Thalai Noi Acute,,Unknown,8A81,TensionType headache,0.700,High,Optimized Semantic Matching,2025-09-04
SD0147,Gastritis - Gunmam Primary,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
SD0148,Skin Disease - Thole Noi,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0149,Liver Disease - Kal Noi Vatham,,Unknown,2C12.02,hepatocellular carcinoma of liver,0.700,High,Optimized Semantic Matching,2025-09-04
SD0150,Kidney Disease - Siruneer Noi Pitham,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0151,Eye Disease - Kan Noi Kabam,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0152,Ear Disease - Kadhu Noi Chronic,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0153,Mental Disorder - Mana Noi Acute,,Unknown,QA02.3,"observation for Suspected mental or behavioural disorders, ruled out",0.700,High,Optimized Semantic Matching,2025-09-04
SD0154,Blood Disease - Ratha Noi Primary,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0155,Bone Disease - Elumbu Noi,,Unknown,2E82.0,Benign chondrogenic tumours of bone or articular cartilage of limbs,0.700,High,Optimized Semantic Matching,2025-09-04
SD0156,Paralysis - Pakka Vatham Vatham,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0157,Epilepsy - Vali Noi Pitham,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0158,Diarrhea - Kallichal Kabam,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0159,Cough - Irumal Kanam Chronic,,Unknown,MD12,cough,0.800,High,Optimized Semantic Matching,2025-09-04
SD0160,Cold - Sanni Acute,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0161,Fever - Suram Primary,,Unknown,1D2Z,"Dengue fever, unspecified",0.700,High,Optimized Semantic Matching,2025-09-04
SD0162,Diabetes - Neerizhevu,,Unknown,5A11,Type 2 diabetes mellitus,0.700,High,Optimized Semantic Matching,2025-09-04
SD0163,Hypertension - Ratha Azhutham Vatham,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
SD0164,Arthritis - Keel Vayu Pitham,,Unknown,FA20,Rheumatoid arthritis,0.700,High,Optimized Semantic Matching,2025-09-04
SD0165,Asthma - Irumal Kabam,,Unknown,CA23,Asthma,0.800,High,Optimized Semantic Matching,2025-09-04
SD0166,Headache - Thalai Noi Chronic,,Unknown,8A81,TensionType headache,0.700,High,Optimized Semantic Matching,2025-09-04
SD0167,Gastritis - Gunmam Acute,,Unknown,DA42,Gastritis,0.800,High,Optimized Semantic Matching,2025-09-04
SD0168,Skin Disease - Thole Noi Primary,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0169,Liver Disease - Kal Noi,,Unknown,2C12.02,hepatocellular carcinoma of liver,0.700,High,Optimized Semantic Matching,2025-09-04
SD0170,Kidney Disease - Siruneer Noi Vatham,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0171,Eye Disease - Kan Noi Pitham,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0172,Ear Disease - Kadhu Noi Kabam,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0173,Mental Disorder - Mana Noi Chronic,,Unknown,QA02.3,"observation for Suspected mental or behavioural disorders, ruled out",0.700,High,Optimized Semantic Matching,2025-09-04
SD0174,Blood Disease - Ratha Noi Acute,,Unknown,1D40,Chikungunya virus disease,0.700,High,Optimized Semantic Matching,2025-09-04
SD0175,Bone Disease - Elumbu Noi Primary,,Unknown,2E82.0,Benign chondrogenic tumours of bone or articular cartilage of limbs,0.700,High,Optimized Semantic Matching,2025-09-04
SD0176,Paralysis - Pakka Vatham,,Unknown,UNMAPPED,No suitable ICD-11 match found,0.000,No Match,Optimized Semantic Matching,2025-09-04
