NAMASTE_Code,NAMASTE_Display,NAMASTE_Traditional,NAMASTE_System,ICD11_Code,ICD11_Description,Mapping_Confidence,Confidence_Level,Mapping_Method,Medical_System,Last_Updated
SD1438,Diarrhea - Kallichal Pitham,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1439,Cough - Irumal Kanam Kabam,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1440,Cold - Sanni Chronic,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1441,Fever - Suram Acute,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
SD1442,Diabetes - Neerizhevu Primary,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
SD1443,Hypertension - Ratha Azhutham,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
SD1444,Arthritis - Keel Vayu Vatham,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
SD1445,Asthma - Irumal Pitham,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1446,Headache - Thalai Noi Kabam,,Unknown,8A84,Other primary headache disorders,0.920,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1447,Gastritis - Gunmam Chronic,,Unknown,DA42,Gastritis,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1448,Skin Disease - Thole Noi Acute,,Unknown,EA00,Diseases of the skin,0.900,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
SD1449,Liver Disease - Kal Noi Primary,,Unknown,DB90,Diseases of liver,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1450,Kidney Disease - Siruneer Noi,,Unknown,GB60,Chronic kidney disease,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
SD1451,Eye Disease - Kan Noi Vatham,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1452,Ear Disease - Kadhu Noi Pitham,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1453,Mental Disorder - Mana Noi Kabam,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1454,Blood Disease - Ratha Noi Chronic,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1455,Bone Disease - Elumbu Noi Acute,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1456,Paralysis - Pakka Vatham Primary,,Unknown,8B11,Hemiplegia,0.950,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1457,Epilepsy - Vali Noi,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1458,Diarrhea - Kallichal Vatham,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1459,Cough - Irumal Kanam Pitham,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1460,Cold - Sanni Kabam,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1461,Fever - Suram Chronic,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
SD1462,Diabetes - Neerizhevu Acute,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
SD1463,Hypertension - Ratha Azhutham Primary,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
SD1464,Arthritis - Keel Vayu,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
SD1465,Asthma - Irumal Vatham,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1466,Headache - Thalai Noi Pitham,,Unknown,8A84,Other primary headache disorders,0.920,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1467,Gastritis - Gunmam Kabam,,Unknown,DA42,Gastritis,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1468,Skin Disease - Thole Noi Chronic,,Unknown,EA00,Diseases of the skin,0.900,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
SD1469,Liver Disease - Kal Noi Acute,,Unknown,DB90,Diseases of liver,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1470,Kidney Disease - Siruneer Noi Primary,,Unknown,GB60,Chronic kidney disease,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
SD1471,Eye Disease - Kan Noi,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1472,Ear Disease - Kadhu Noi Vatham,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1473,Mental Disorder - Mana Noi Pitham,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1474,Blood Disease - Ratha Noi Kabam,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1475,Bone Disease - Elumbu Noi Chronic,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1476,Paralysis - Pakka Vatham Acute,,Unknown,8B11,Hemiplegia,0.950,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1477,Epilepsy - Vali Noi Primary,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1478,Diarrhea - Kallichal,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1479,Cough - Irumal Kanam Vatham,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1480,Cold - Sanni Pitham,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1481,Fever - Suram Kabam,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
SD1482,Diabetes - Neerizhevu Chronic,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
SD1483,Hypertension - Ratha Azhutham Acute,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
SD1484,Arthritis - Keel Vayu Primary,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
SD1485,Asthma - Irumal,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1486,Headache - Thalai Noi Vatham,,Unknown,8A84,Other primary headache disorders,0.920,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1487,Gastritis - Gunmam Pitham,,Unknown,DA42,Gastritis,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1488,Skin Disease - Thole Noi Kabam,,Unknown,EA00,Diseases of the skin,0.900,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
SD1489,Liver Disease - Kal Noi Chronic,,Unknown,DB90,Diseases of liver,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1490,Kidney Disease - Siruneer Noi Acute,,Unknown,GB60,Chronic kidney disease,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
SD1491,Eye Disease - Kan Noi Primary,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1492,Ear Disease - Kadhu Noi,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1493,Mental Disorder - Mana Noi Vatham,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1494,Blood Disease - Ratha Noi Pitham,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1495,Bone Disease - Elumbu Noi Kabam,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1496,Paralysis - Pakka Vatham Chronic,,Unknown,8B11,Hemiplegia,0.950,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1497,Epilepsy - Vali Noi Acute,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1498,Diarrhea - Kallichal Primary,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1499,Cough - Irumal Kanam,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1500,Cold - Sanni Vatham,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1501,Fever - Suram Pitham,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
SD1502,Diabetes - Neerizhevu Kabam,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
SD1503,Hypertension - Ratha Azhutham Chronic,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
SD1504,Arthritis - Keel Vayu Acute,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
SD1505,Asthma - Irumal Primary,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1506,Headache - Thalai Noi,,Unknown,8A84,Other primary headache disorders,0.920,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1507,Gastritis - Gunmam Vatham,,Unknown,DA42,Gastritis,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1508,Skin Disease - Thole Noi Pitham,,Unknown,EA00,Diseases of the skin,0.900,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
SD1509,Liver Disease - Kal Noi Kabam,,Unknown,DB90,Diseases of liver,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1510,Kidney Disease - Siruneer Noi Chronic,,Unknown,GB60,Chronic kidney disease,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
SD1511,Eye Disease - Kan Noi Acute,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1512,Ear Disease - Kadhu Noi Primary,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1513,Mental Disorder - Mana Noi,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1514,Blood Disease - Ratha Noi Vatham,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1515,Bone Disease - Elumbu Noi Pitham,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1516,Paralysis - Pakka Vatham Kabam,,Unknown,8B11,Hemiplegia,0.950,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1517,Epilepsy - Vali Noi Chronic,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1518,Diarrhea - Kallichal Acute,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1519,Cough - Irumal Kanam Primary,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1520,Cold - Sanni,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1521,Fever - Suram Vatham,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
SD1522,Diabetes - Neerizhevu Pitham,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
SD1523,Hypertension - Ratha Azhutham Kabam,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
SD1524,Arthritis - Keel Vayu Chronic,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
SD1525,Asthma - Irumal Acute,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1526,Headache - Thalai Noi Primary,,Unknown,8A84,Other primary headache disorders,0.920,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1527,Gastritis - Gunmam,,Unknown,DA42,Gastritis,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1528,Skin Disease - Thole Noi Vatham,,Unknown,EA00,Diseases of the skin,0.900,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
SD1529,Liver Disease - Kal Noi Pitham,,Unknown,DB90,Diseases of liver,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1530,Kidney Disease - Siruneer Noi Kabam,,Unknown,GB60,Chronic kidney disease,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
SD1531,Eye Disease - Kan Noi Chronic,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1532,Ear Disease - Kadhu Noi Acute,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1533,Mental Disorder - Mana Noi Primary,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1534,Blood Disease - Ratha Noi,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1535,Bone Disease - Elumbu Noi Vatham,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1536,Paralysis - Pakka Vatham Pitham,,Unknown,8B11,Hemiplegia,0.950,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1537,Epilepsy - Vali Noi Kabam,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1538,Diarrhea - Kallichal Chronic,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1539,Cough - Irumal Kanam Acute,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1540,Cold - Sanni Primary,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1541,Fever - Suram,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
SD1542,Diabetes - Neerizhevu Vatham,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
SD1543,Hypertension - Ratha Azhutham Pitham,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
SD1544,Arthritis - Keel Vayu Kabam,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
SD1545,Asthma - Irumal Chronic,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1546,Headache - Thalai Noi Acute,,Unknown,8A84,Other primary headache disorders,0.920,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1547,Gastritis - Gunmam Primary,,Unknown,DA42,Gastritis,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1548,Skin Disease - Thole Noi,,Unknown,EA00,Diseases of the skin,0.900,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
SD1549,Liver Disease - Kal Noi Vatham,,Unknown,DB90,Diseases of liver,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1550,Kidney Disease - Siruneer Noi Pitham,,Unknown,GB60,Chronic kidney disease,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
SD1551,Eye Disease - Kan Noi Kabam,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1552,Ear Disease - Kadhu Noi Chronic,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1553,Mental Disorder - Mana Noi Acute,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1554,Blood Disease - Ratha Noi Primary,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1555,Bone Disease - Elumbu Noi,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1556,Paralysis - Pakka Vatham Vatham,,Unknown,8B11,Hemiplegia,0.950,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1557,Epilepsy - Vali Noi Pitham,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1558,Diarrhea - Kallichal Kabam,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1559,Cough - Irumal Kanam Chronic,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1560,Cold - Sanni Acute,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1561,Fever - Suram Primary,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
SD1562,Diabetes - Neerizhevu,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
SD1563,Hypertension - Ratha Azhutham Vatham,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
SD1564,Arthritis - Keel Vayu Pitham,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
SD1565,Asthma - Irumal Kabam,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1566,Headache - Thalai Noi Chronic,,Unknown,8A84,Other primary headache disorders,0.920,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1567,Gastritis - Gunmam Acute,,Unknown,DA42,Gastritis,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1568,Skin Disease - Thole Noi Primary,,Unknown,EA00,Diseases of the skin,0.900,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
SD1569,Liver Disease - Kal Noi,,Unknown,DB90,Diseases of liver,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1570,Kidney Disease - Siruneer Noi Vatham,,Unknown,GB60,Chronic kidney disease,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
SD1571,Eye Disease - Kan Noi Pitham,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1572,Ear Disease - Kadhu Noi Kabam,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1573,Mental Disorder - Mana Noi Chronic,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1574,Blood Disease - Ratha Noi Acute,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1575,Bone Disease - Elumbu Noi Primary,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1576,Paralysis - Pakka Vatham,,Unknown,8B11,Hemiplegia,0.950,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1577,Epilepsy - Vali Noi Vatham,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1578,Diarrhea - Kallichal Pitham,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1579,Cough - Irumal Kanam Kabam,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1580,Cold - Sanni Chronic,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1581,Fever - Suram Acute,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
SD1582,Diabetes - Neerizhevu Primary,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
SD1583,Hypertension - Ratha Azhutham,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
SD1584,Arthritis - Keel Vayu Vatham,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
SD1585,Asthma - Irumal Pitham,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1586,Headache - Thalai Noi Kabam,,Unknown,8A84,Other primary headache disorders,0.920,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1587,Gastritis - Gunmam Chronic,,Unknown,DA42,Gastritis,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1588,Skin Disease - Thole Noi Acute,,Unknown,EA00,Diseases of the skin,0.900,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
SD1589,Liver Disease - Kal Noi Primary,,Unknown,DB90,Diseases of liver,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1590,Kidney Disease - Siruneer Noi,,Unknown,GB60,Chronic kidney disease,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
SD1591,Eye Disease - Kan Noi Vatham,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1592,Ear Disease - Kadhu Noi Pitham,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1593,Mental Disorder - Mana Noi Kabam,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1594,Blood Disease - Ratha Noi Chronic,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1595,Bone Disease - Elumbu Noi Acute,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1596,Paralysis - Pakka Vatham Primary,,Unknown,8B11,Hemiplegia,0.950,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1597,Epilepsy - Vali Noi,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1598,Diarrhea - Kallichal Vatham,,Unknown,DD91,Diarrhoea,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1599,Cough - Irumal Kanam Pitham,,Unknown,MD11,Cough,0.950,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1600,Cold - Sanni Kabam,,Unknown,CA40,Acute upper respiratory infections,0.920,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1601,Fever - Suram Chronic,,Unknown,MG24,"Fever, unspecified",0.980,Medical Expert,Expert Medical Knowledge,general,2025-09-05
SD1602,Diabetes - Neerizhevu Acute,,Unknown,5A11,Type 2 diabetes mellitus,0.980,Medical Expert,Expert Medical Knowledge,endocrine,2025-09-05
SD1603,Hypertension - Ratha Azhutham Primary,,Unknown,BA00,Essential hypertension,0.980,Medical Expert,Expert Medical Knowledge,cardiovascular,2025-09-05
SD1604,Arthritis - Keel Vayu,,Unknown,FA20,Rheumatoid arthritis,0.950,Medical Expert,Expert Medical Knowledge,musculoskeletal,2025-09-05
SD1605,Asthma - Irumal Vatham,,Unknown,CA23,Asthma,0.980,Medical Expert,Expert Medical Knowledge,respiratory,2025-09-05
SD1606,Headache - Thalai Noi Pitham,,Unknown,8A84,Other primary headache disorders,0.920,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1607,Gastritis - Gunmam Kabam,,Unknown,DA42,Gastritis,0.980,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1608,Skin Disease - Thole Noi Chronic,,Unknown,EA00,Diseases of the skin,0.900,Medical Expert,Expert Medical Knowledge,dermatological,2025-09-05
SD1609,Liver Disease - Kal Noi Acute,,Unknown,DB90,Diseases of liver,0.950,Medical Expert,Expert Medical Knowledge,digestive,2025-09-05
SD1610,Kidney Disease - Siruneer Noi Primary,,Unknown,GB60,Chronic kidney disease,0.920,Medical Expert,Expert Medical Knowledge,genitourinary,2025-09-05
SD1611,Eye Disease - Kan Noi,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1612,Ear Disease - Kadhu Noi Vatham,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1613,Mental Disorder - Mana Noi Pitham,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1614,Blood Disease - Ratha Noi Kabam,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1615,Bone Disease - Elumbu Noi Chronic,,Unknown,MANUAL_REVIEW,Requires manual medical expert review,0.500,Manual Review Required,Flagged for Expert Review,review,2025-09-05
SD1616,Paralysis - Pakka Vatham Acute,,Unknown,8B11,Hemiplegia,0.950,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
SD1617,Epilepsy - Vali Noi Primary,,Unknown,8A61,Epilepsy,0.980,Medical Expert,Expert Medical Knowledge,neurological,2025-09-05
