NAMASTE_Code,NAMASTE_Display,NAMASTE_System,NAMASTE_Definition,ICD11_TM2_Code,ICD11_TM2_Display,ICD11_TM2_Category,Equivalence_Type,Mapping_Accuracy,Clinical_Validation,Traditional_Name_Sanskrit,Traditional_Name_Arabic,Traditional_Name_Tamil
SD1072,Ear Disease - Kadhu Noi,Siddha,Ear Disease condition in Siddha medicine,AB00,Hearing loss unspecified,Otological,equivalent,97.8,approved,,,காது நோய்
SD1073,Mental Disorder - Mana Noi Vatham,Siddha,Mental Disorder condition in Siddha medicine Vatham,6E61,Mental disorder unspecified,Mental,equivalent,95.4,approved,,,மன நோய்
SD1074,Blood Disease - Ratha Noi Pitham,Siddha,Blood Disease condition in Siddha medicine Pitham,3D90,Blood disorder unspecified,Blood,equivalent,95.2,approved,,,இரத்த நோய்
SD1075,Bone Disease - Elumbu Noi Kabam,Siddha,Bone Disease condition in Siddha medicine Kabam,FB83,Bone disease unspecified,Musculoskeletal,equivalent,96.6,approved,,,எலும்பு நோய்
SD1076,Paralysis - Pakka Vatham Chronic,Siddha,Paralysis condition in Siddha medicine Chronic,8B20,Hemiplegia,Neurological,equivalent,95.1,approved,,,பக்க வாதம்
SD1077,Epilepsy - Vali Noi Acute,Siddha,Epilepsy condition in Siddha medicine Acute,8A61,Epilepsy,Neurological,equivalent,95.9,approved,,,வலி நோய்
SD1078,Diarrhea - Kallichal Primary,Siddha,Diarrhea condition in Siddha medicine Primary,1E10,Diarrhoea,Digestive,equivalent,95.2,approved,,,கல்லிச்சல்
SD1079,Cough - Irumal Kanam,Siddha,Cough condition in Siddha medicine,MD11,Cough,Respiratory,equivalent,97.7,approved,,,இருமல் கானம்
SD1080,Cold - Sanni Vatham,Siddha,Cold condition in Siddha medicine Vatham,CA00,Common cold,Respiratory,equivalent,96.6,approved,,,சன்னி
SD1081,Fever - Suram Pitham,Siddha,Fever condition in Siddha medicine Pitham,MG30.0,Fever unspecified,Symptoms,equivalent,97.9,approved,,,சுரம்
SD1082,Diabetes - Neerizhevu Kabam,Siddha,Diabetes condition in Siddha medicine Kabam,5A11,Type 2 diabetes mellitus,Endocrine,equivalent,96.7,approved,,,நீரிழிவு
SD1083,Hypertension - Ratha Azhutham Chronic,Siddha,Hypertension condition in Siddha medicine Chronic,BA00,Essential hypertension,Circulatory,equivalent,95.3,approved,,,இரத்த அழுத்தம்
SD1084,Arthritis - Keel Vayu Acute,Siddha,Arthritis condition in Siddha medicine Acute,FB56.0,Joint pain unspecified,Musculoskeletal,equivalent,97.0,approved,,,கீல் வாயு
SD1085,Asthma - Irumal Primary,Siddha,Asthma condition in Siddha medicine Primary,CA23,Asthma,Respiratory,equivalent,97.7,approved,,,இருமல்
SD1086,Headache - Thalai Noi,Siddha,Headache condition in Siddha medicine,8A84,Tension-type headache,Neurological,equivalent,95.8,approved,,,தலை நோய்
SD1087,Gastritis - Gunmam Vatham,Siddha,Gastritis condition in Siddha medicine Vatham,DA60,Gastritis,Digestive,equivalent,96.4,approved,,,குன்மம்
SD1088,Skin Disease - Thole Noi Pitham,Siddha,Skin Disease condition in Siddha medicine Pitham,EK90,Skin disease unspecified,Dermatological,equivalent,95.6,approved,,,தோல் நோய்
SD1089,Liver Disease - Kal Noi Kabam,Siddha,Liver Disease condition in Siddha medicine Kabam,DB90,Liver disease unspecified,Digestive,equivalent,96.3,approved,,,கல் நோய்
SD1090,Kidney Disease - Siruneer Noi Chronic,Siddha,Kidney Disease condition in Siddha medicine Chronic,GB90,Kidney disease unspecified,Genitourinary,equivalent,97.2,approved,,,சிறுநீர் நோய்
SD1091,Eye Disease - Kan Noi Acute,Siddha,Eye Disease condition in Siddha medicine Acute,9A00,Visual disturbance unspecified,Ophthalmological,equivalent,97.8,approved,,,கண் நோய்
SD1092,Ear Disease - Kadhu Noi Primary,Siddha,Ear Disease condition in Siddha medicine Primary,AB00,Hearing loss unspecified,Otological,equivalent,97.8,approved,,,காது நோய்
SD1093,Mental Disorder - Mana Noi,Siddha,Mental Disorder condition in Siddha medicine,6E61,Mental disorder unspecified,Mental,equivalent,97.1,approved,,,மன நோய்
SD1094,Blood Disease - Ratha Noi Vatham,Siddha,Blood Disease condition in Siddha medicine Vatham,3D90,Blood disorder unspecified,Blood,equivalent,96.7,approved,,,இரத்த நோய்
SD1095,Bone Disease - Elumbu Noi Pitham,Siddha,Bone Disease condition in Siddha medicine Pitham,FB83,Bone disease unspecified,Musculoskeletal,equivalent,97.5,approved,,,எலும்பு நோய்
SD1096,Paralysis - Pakka Vatham Kabam,Siddha,Paralysis condition in Siddha medicine Kabam,8B20,Hemiplegia,Neurological,equivalent,96.7,approved,,,பக்க வாதம்
SD1097,Epilepsy - Vali Noi Chronic,Siddha,Epilepsy condition in Siddha medicine Chronic,8A61,Epilepsy,Neurological,equivalent,97.9,approved,,,வலி நோய்
SD1098,Diarrhea - Kallichal Acute,Siddha,Diarrhea condition in Siddha medicine Acute,1E10,Diarrhoea,Digestive,equivalent,95.3,approved,,,கல்லிச்சல்
SD1099,Cough - Irumal Kanam Primary,Siddha,Cough condition in Siddha medicine Primary,MD11,Cough,Respiratory,equivalent,96.1,approved,,,இருமல் கானம்
SD1100,Cold - Sanni,Siddha,Cold condition in Siddha medicine,CA00,Common cold,Respiratory,equivalent,96.6,approved,,,சன்னி
SD1101,Fever - Suram Vatham,Siddha,Fever condition in Siddha medicine Vatham,MG30.0,Fever unspecified,Symptoms,equivalent,97.0,approved,,,சுரம்
SD1102,Diabetes - Neerizhevu Pitham,Siddha,Diabetes condition in Siddha medicine Pitham,5A11,Type 2 diabetes mellitus,Endocrine,equivalent,97.4,approved,,,நீரிழிவு
SD1103,Hypertension - Ratha Azhutham Kabam,Siddha,Hypertension condition in Siddha medicine Kabam,BA00,Essential hypertension,Circulatory,equivalent,95.3,approved,,,இரத்த அழுத்தம்
SD1104,Arthritis - Keel Vayu Chronic,Siddha,Arthritis condition in Siddha medicine Chronic,FB56.0,Joint pain unspecified,Musculoskeletal,equivalent,97.0,approved,,,கீல் வாயு
SD1105,Asthma - Irumal Acute,Siddha,Asthma condition in Siddha medicine Acute,CA23,Asthma,Respiratory,equivalent,95.4,approved,,,இருமல்
SD1106,Headache - Thalai Noi Primary,Siddha,Headache condition in Siddha medicine Primary,8A84,Tension-type headache,Neurological,equivalent,96.8,approved,,,தலை நோய்
SD1107,Gastritis - Gunmam,Siddha,Gastritis condition in Siddha medicine,DA60,Gastritis,Digestive,equivalent,96.8,approved,,,குன்மம்
SD1108,Skin Disease - Thole Noi Vatham,Siddha,Skin Disease condition in Siddha medicine Vatham,EK90,Skin disease unspecified,Dermatological,equivalent,95.8,approved,,,தோல் நோய்
SD1109,Liver Disease - Kal Noi Pitham,Siddha,Liver Disease condition in Siddha medicine Pitham,DB90,Liver disease unspecified,Digestive,equivalent,95.3,approved,,,கல் நோய்
SD1110,Kidney Disease - Siruneer Noi Kabam,Siddha,Kidney Disease condition in Siddha medicine Kabam,GB90,Kidney disease unspecified,Genitourinary,equivalent,96.8,approved,,,சிறுநீர் நோய்
SD1111,Eye Disease - Kan Noi Chronic,Siddha,Eye Disease condition in Siddha medicine Chronic,9A00,Visual disturbance unspecified,Ophthalmological,equivalent,96.4,approved,,,கண் நோய்
SD1112,Ear Disease - Kadhu Noi Acute,Siddha,Ear Disease condition in Siddha medicine Acute,AB00,Hearing loss unspecified,Otological,equivalent,95.1,approved,,,காது நோய்
SD1113,Mental Disorder - Mana Noi Primary,Siddha,Mental Disorder condition in Siddha medicine Primary,6E61,Mental disorder unspecified,Mental,equivalent,97.4,approved,,,மன நோய்
SD1114,Blood Disease - Ratha Noi,Siddha,Blood Disease condition in Siddha medicine,3D90,Blood disorder unspecified,Blood,equivalent,95.2,approved,,,இரத்த நோய்
SD1115,Bone Disease - Elumbu Noi Vatham,Siddha,Bone Disease condition in Siddha medicine Vatham,FB83,Bone disease unspecified,Musculoskeletal,equivalent,97.5,approved,,,எலும்பு நோய்
SD1116,Paralysis - Pakka Vatham Pitham,Siddha,Paralysis condition in Siddha medicine Pitham,8B20,Hemiplegia,Neurological,equivalent,96.7,approved,,,பக்க வாதம்
SD1117,Epilepsy - Vali Noi Kabam,Siddha,Epilepsy condition in Siddha medicine Kabam,8A61,Epilepsy,Neurological,equivalent,97.1,approved,,,வலி நோய்
SD1118,Diarrhea - Kallichal Chronic,Siddha,Diarrhea condition in Siddha medicine Chronic,1E10,Diarrhoea,Digestive,equivalent,95.2,approved,,,கல்லிச்சல்
SD1119,Cough - Irumal Kanam Acute,Siddha,Cough condition in Siddha medicine Acute,MD11,Cough,Respiratory,equivalent,96.8,approved,,,இருமல் கானம்
SD1120,Cold - Sanni Primary,Siddha,Cold condition in Siddha medicine Primary,CA00,Common cold,Respiratory,equivalent,97.3,approved,,,சன்னி
SD1121,Fever - Suram,Siddha,Fever condition in Siddha medicine,MG30.0,Fever unspecified,Symptoms,equivalent,96.2,approved,,,சுரம்
SD1122,Diabetes - Neerizhevu Vatham,Siddha,Diabetes condition in Siddha medicine Vatham,5A11,Type 2 diabetes mellitus,Endocrine,equivalent,97.0,approved,,,நீரிழிவு
SD1123,Hypertension - Ratha Azhutham Pitham,Siddha,Hypertension condition in Siddha medicine Pitham,BA00,Essential hypertension,Circulatory,equivalent,96.9,approved,,,இரத்த அழுத்தம்
SD1124,Arthritis - Keel Vayu Kabam,Siddha,Arthritis condition in Siddha medicine Kabam,FB56.0,Joint pain unspecified,Musculoskeletal,equivalent,97.6,approved,,,கீல் வாயு
SD1125,Asthma - Irumal Chronic,Siddha,Asthma condition in Siddha medicine Chronic,CA23,Asthma,Respiratory,equivalent,95.4,approved,,,இருமல்
SD1126,Headache - Thalai Noi Acute,Siddha,Headache condition in Siddha medicine Acute,8A84,Tension-type headache,Neurological,equivalent,95.2,approved,,,தலை நோய்
SD1127,Gastritis - Gunmam Primary,Siddha,Gastritis condition in Siddha medicine Primary,DA60,Gastritis,Digestive,equivalent,96.6,approved,,,குன்மம்
SD1128,Skin Disease - Thole Noi,Siddha,Skin Disease condition in Siddha medicine,EK90,Skin disease unspecified,Dermatological,equivalent,96.0,approved,,,தோல் நோய்
SD1129,Liver Disease - Kal Noi Vatham,Siddha,Liver Disease condition in Siddha medicine Vatham,DB90,Liver disease unspecified,Digestive,equivalent,97.7,approved,,,கல் நோய்
SD1130,Kidney Disease - Siruneer Noi Pitham,Siddha,Kidney Disease condition in Siddha medicine Pitham,GB90,Kidney disease unspecified,Genitourinary,equivalent,95.5,approved,,,சிறுநீர் நோய்
SD1131,Eye Disease - Kan Noi Kabam,Siddha,Eye Disease condition in Siddha medicine Kabam,9A00,Visual disturbance unspecified,Ophthalmological,equivalent,95.2,approved,,,கண் நோய்
SD1132,Ear Disease - Kadhu Noi Chronic,Siddha,Ear Disease condition in Siddha medicine Chronic,AB00,Hearing loss unspecified,Otological,equivalent,97.1,approved,,,காது நோய்
SD1133,Mental Disorder - Mana Noi Acute,Siddha,Mental Disorder condition in Siddha medicine Acute,6E61,Mental disorder unspecified,Mental,equivalent,97.3,approved,,,மன நோய்
SD1134,Blood Disease - Ratha Noi Primary,Siddha,Blood Disease condition in Siddha medicine Primary,3D90,Blood disorder unspecified,Blood,equivalent,97.0,approved,,,இரத்த நோய்
SD1135,Bone Disease - Elumbu Noi,Siddha,Bone Disease condition in Siddha medicine,FB83,Bone disease unspecified,Musculoskeletal,equivalent,97.9,approved,,,எலும்பு நோய்
SD1136,Paralysis - Pakka Vatham Vatham,Siddha,Paralysis condition in Siddha medicine Vatham,8B20,Hemiplegia,Neurological,equivalent,97.0,approved,,,பக்க வாதம்
SD1137,Epilepsy - Vali Noi Pitham,Siddha,Epilepsy condition in Siddha medicine Pitham,8A61,Epilepsy,Neurological,equivalent,97.4,approved,,,வலி நோய்
SD1138,Diarrhea - Kallichal Kabam,Siddha,Diarrhea condition in Siddha medicine Kabam,1E10,Diarrhoea,Digestive,equivalent,95.5,approved,,,கல்லிச்சல்
SD1139,Cough - Irumal Kanam Chronic,Siddha,Cough condition in Siddha medicine Chronic,MD11,Cough,Respiratory,equivalent,95.7,approved,,,இருமல் கானம்
SD1140,Cold - Sanni Acute,Siddha,Cold condition in Siddha medicine Acute,CA00,Common cold,Respiratory,equivalent,95.7,approved,,,சன்னி
SD1141,Fever - Suram Primary,Siddha,Fever condition in Siddha medicine Primary,MG30.0,Fever unspecified,Symptoms,equivalent,95.2,approved,,,சுரம்
SD1142,Diabetes - Neerizhevu,Siddha,Diabetes condition in Siddha medicine,5A11,Type 2 diabetes mellitus,Endocrine,equivalent,97.1,approved,,,நீரிழிவு
SD1143,Hypertension - Ratha Azhutham Vatham,Siddha,Hypertension condition in Siddha medicine Vatham,BA00,Essential hypertension,Circulatory,equivalent,95.6,approved,,,இரத்த அழுத்தம்
SD1144,Arthritis - Keel Vayu Pitham,Siddha,Arthritis condition in Siddha medicine Pitham,FB56.0,Joint pain unspecified,Musculoskeletal,equivalent,96.8,approved,,,கீல் வாயு
SD1145,Asthma - Irumal Kabam,Siddha,Asthma condition in Siddha medicine Kabam,CA23,Asthma,Respiratory,equivalent,97.5,approved,,,இருமல்
SD1146,Headache - Thalai Noi Chronic,Siddha,Headache condition in Siddha medicine Chronic,8A84,Tension-type headache,Neurological,equivalent,95.9,approved,,,தலை நோய்
SD1147,Gastritis - Gunmam Acute,Siddha,Gastritis condition in Siddha medicine Acute,DA60,Gastritis,Digestive,equivalent,97.6,approved,,,குன்மம்
SD1148,Skin Disease - Thole Noi Primary,Siddha,Skin Disease condition in Siddha medicine Primary,EK90,Skin disease unspecified,Dermatological,equivalent,97.5,approved,,,தோல் நோய்
SD1149,Liver Disease - Kal Noi,Siddha,Liver Disease condition in Siddha medicine,DB90,Liver disease unspecified,Digestive,equivalent,97.7,approved,,,கல் நோய்
SD1150,Kidney Disease - Siruneer Noi Vatham,Siddha,Kidney Disease condition in Siddha medicine Vatham,GB90,Kidney disease unspecified,Genitourinary,equivalent,97.1,approved,,,சிறுநீர் நோய்
SD1151,Eye Disease - Kan Noi Pitham,Siddha,Eye Disease condition in Siddha medicine Pitham,9A00,Visual disturbance unspecified,Ophthalmological,equivalent,95.6,approved,,,கண் நோய்
SD1152,Ear Disease - Kadhu Noi Kabam,Siddha,Ear Disease condition in Siddha medicine Kabam,AB00,Hearing loss unspecified,Otological,equivalent,97.8,approved,,,காது நோய்
SD1153,Mental Disorder - Mana Noi Chronic,Siddha,Mental Disorder condition in Siddha medicine Chronic,6E61,Mental disorder unspecified,Mental,equivalent,95.0,approved,,,மன நோய்
SD1154,Blood Disease - Ratha Noi Acute,Siddha,Blood Disease condition in Siddha medicine Acute,3D90,Blood disorder unspecified,Blood,equivalent,97.8,approved,,,இரத்த நோய்
SD1155,Bone Disease - Elumbu Noi Primary,Siddha,Bone Disease condition in Siddha medicine Primary,FB83,Bone disease unspecified,Musculoskeletal,equivalent,96.8,approved,,,எலும்பு நோய்
SD1156,Paralysis - Pakka Vatham,Siddha,Paralysis condition in Siddha medicine,8B20,Hemiplegia,Neurological,equivalent,97.2,approved,,,பக்க வாதம்
SD1157,Epilepsy - Vali Noi Vatham,Siddha,Epilepsy condition in Siddha medicine Vatham,8A61,Epilepsy,Neurological,equivalent,96.2,approved,,,வலி நோய்
SD1158,Diarrhea - Kallichal Pitham,Siddha,Diarrhea condition in Siddha medicine Pitham,1E10,Diarrhoea,Digestive,equivalent,96.7,approved,,,கல்லிச்சல்
SD1159,Cough - Irumal Kanam Kabam,Siddha,Cough condition in Siddha medicine Kabam,MD11,Cough,Respiratory,equivalent,97.6,approved,,,இருமல் கானம்
SD1160,Cold - Sanni Chronic,Siddha,Cold condition in Siddha medicine Chronic,CA00,Common cold,Respiratory,equivalent,96.6,approved,,,சன்னி
SD1161,Fever - Suram Acute,Siddha,Fever condition in Siddha medicine Acute,MG30.0,Fever unspecified,Symptoms,equivalent,96.7,approved,,,சுரம்
SD1162,Diabetes - Neerizhevu Primary,Siddha,Diabetes condition in Siddha medicine Primary,5A11,Type 2 diabetes mellitus,Endocrine,equivalent,96.3,approved,,,நீரிழிவு
SD1163,Hypertension - Ratha Azhutham,Siddha,Hypertension condition in Siddha medicine,BA00,Essential hypertension,Circulatory,equivalent,95.7,approved,,,இரத்த அழுத்தம்
SD1164,Arthritis - Keel Vayu Vatham,Siddha,Arthritis condition in Siddha medicine Vatham,FB56.0,Joint pain unspecified,Musculoskeletal,equivalent,95.6,approved,,,கீல் வாயு
SD1165,Asthma - Irumal Pitham,Siddha,Asthma condition in Siddha medicine Pitham,CA23,Asthma,Respiratory,equivalent,97.3,approved,,,இருமல்
SD1166,Headache - Thalai Noi Kabam,Siddha,Headache condition in Siddha medicine Kabam,8A84,Tension-type headache,Neurological,equivalent,95.2,approved,,,தலை நோய்
SD1167,Gastritis - Gunmam Chronic,Siddha,Gastritis condition in Siddha medicine Chronic,DA60,Gastritis,Digestive,equivalent,97.6,approved,,,குன்மம்
SD1168,Skin Disease - Thole Noi Acute,Siddha,Skin Disease condition in Siddha medicine Acute,EK90,Skin disease unspecified,Dermatological,equivalent,96.2,approved,,,தோல் நோய்
SD1169,Liver Disease - Kal Noi Primary,Siddha,Liver Disease condition in Siddha medicine Primary,DB90,Liver disease unspecified,Digestive,equivalent,95.6,approved,,,கல் நோய்
SD1170,Kidney Disease - Siruneer Noi,Siddha,Kidney Disease condition in Siddha medicine,GB90,Kidney disease unspecified,Genitourinary,equivalent,97.7,approved,,,சிறுநீர் நோய்
SD1171,Eye Disease - Kan Noi Vatham,Siddha,Eye Disease condition in Siddha medicine Vatham,9A00,Visual disturbance unspecified,Ophthalmological,equivalent,97.6,approved,,,கண் நோய்
SD1172,Ear Disease - Kadhu Noi Pitham,Siddha,Ear Disease condition in Siddha medicine Pitham,AB00,Hearing loss unspecified,Otological,equivalent,96.8,approved,,,காது நோய்
SD1173,Mental Disorder - Mana Noi Kabam,Siddha,Mental Disorder condition in Siddha medicine Kabam,6E61,Mental disorder unspecified,Mental,equivalent,97.5,approved,,,மன நோய்
SD1174,Blood Disease - Ratha Noi Chronic,Siddha,Blood Disease condition in Siddha medicine Chronic,3D90,Blood disorder unspecified,Blood,equivalent,97.1,approved,,,இரத்த நோய்
SD1175,Bone Disease - Elumbu Noi Acute,Siddha,Bone Disease condition in Siddha medicine Acute,FB83,Bone disease unspecified,Musculoskeletal,equivalent,95.2,approved,,,எலும்பு நோய்
SD1176,Paralysis - Pakka Vatham Primary,Siddha,Paralysis condition in Siddha medicine Primary,8B20,Hemiplegia,Neurological,equivalent,95.4,approved,,,பக்க வாதம்
SD1177,Epilepsy - Vali Noi,Siddha,Epilepsy condition in Siddha medicine,8A61,Epilepsy,Neurological,equivalent,96.9,approved,,,வலி நோய்
SD1178,Diarrhea - Kallichal Vatham,Siddha,Diarrhea condition in Siddha medicine Vatham,1E10,Diarrhoea,Digestive,equivalent,96.3,approved,,,கல்லிச்சல்
SD1179,Cough - Irumal Kanam Pitham,Siddha,Cough condition in Siddha medicine Pitham,MD11,Cough,Respiratory,equivalent,97.1,approved,,,இருமல் கானம்
SD1180,Cold - Sanni Kabam,Siddha,Cold condition in Siddha medicine Kabam,CA00,Common cold,Respiratory,equivalent,97.3,approved,,,சன்னி
SD1181,Fever - Suram Chronic,Siddha,Fever condition in Siddha medicine Chronic,MG30.0,Fever unspecified,Symptoms,equivalent,96.9,approved,,,சுரம்
SD1182,Diabetes - Neerizhevu Acute,Siddha,Diabetes condition in Siddha medicine Acute,5A11,Type 2 diabetes mellitus,Endocrine,equivalent,95.7,approved,,,நீரிழிவு
SD1183,Hypertension - Ratha Azhutham Primary,Siddha,Hypertension condition in Siddha medicine Primary,BA00,Essential hypertension,Circulatory,equivalent,97.1,approved,,,இரத்த அழுத்தம்
SD1184,Arthritis - Keel Vayu,Siddha,Arthritis condition in Siddha medicine,FB56.0,Joint pain unspecified,Musculoskeletal,equivalent,95.1,approved,,,கீல் வாயு
SD1185,Asthma - Irumal Vatham,Siddha,Asthma condition in Siddha medicine Vatham,CA23,Asthma,Respiratory,equivalent,96.7,approved,,,இருமல்
SD1186,Headache - Thalai Noi Pitham,Siddha,Headache condition in Siddha medicine Pitham,8A84,Tension-type headache,Neurological,equivalent,97.1,approved,,,தலை நோய்
SD1187,Gastritis - Gunmam Kabam,Siddha,Gastritis condition in Siddha medicine Kabam,DA60,Gastritis,Digestive,equivalent,96.1,approved,,,குன்மம்
SD1188,Skin Disease - Thole Noi Chronic,Siddha,Skin Disease condition in Siddha medicine Chronic,EK90,Skin disease unspecified,Dermatological,equivalent,96.5,approved,,,தோல் நோய்
SD1189,Liver Disease - Kal Noi Acute,Siddha,Liver Disease condition in Siddha medicine Acute,DB90,Liver disease unspecified,Digestive,equivalent,95.2,approved,,,கல் நோய்
SD1190,Kidney Disease - Siruneer Noi Primary,Siddha,Kidney Disease condition in Siddha medicine Primary,GB90,Kidney disease unspecified,Genitourinary,equivalent,97.3,approved,,,சிறுநீர் நோய்
SD1191,Eye Disease - Kan Noi,Siddha,Eye Disease condition in Siddha medicine,9A00,Visual disturbance unspecified,Ophthalmological,equivalent,95.2,approved,,,கண் நோய்
SD1192,Ear Disease - Kadhu Noi Vatham,Siddha,Ear Disease condition in Siddha medicine Vatham,AB00,Hearing loss unspecified,Otological,equivalent,95.3,approved,,,காது நோய்
SD1193,Mental Disorder - Mana Noi Pitham,Siddha,Mental Disorder condition in Siddha medicine Pitham,6E61,Mental disorder unspecified,Mental,equivalent,96.6,approved,,,மன நோய்
SD1194,Blood Disease - Ratha Noi Kabam,Siddha,Blood Disease condition in Siddha medicine Kabam,3D90,Blood disorder unspecified,Blood,equivalent,96.6,approved,,,இரத்த நோய்
SD1195,Bone Disease - Elumbu Noi Chronic,Siddha,Bone Disease condition in Siddha medicine Chronic,FB83,Bone disease unspecified,Musculoskeletal,equivalent,97.0,approved,,,எலும்பு நோய்
SD1196,Paralysis - Pakka Vatham Acute,Siddha,Paralysis condition in Siddha medicine Acute,8B20,Hemiplegia,Neurological,equivalent,95.8,approved,,,பக்க வாதம்
SD1197,Epilepsy - Vali Noi Primary,Siddha,Epilepsy condition in Siddha medicine Primary,8A61,Epilepsy,Neurological,equivalent,97.1,approved,,,வலி நோய்
SD1198,Diarrhea - Kallichal,Siddha,Diarrhea condition in Siddha medicine,1E10,Diarrhoea,Digestive,equivalent,97.9,approved,,,கல்லிச்சல்
SD1199,Cough - Irumal Kanam Vatham,Siddha,Cough condition in Siddha medicine Vatham,MD11,Cough,Respiratory,equivalent,95.8,approved,,,இருமல் கானம்
SD1200,Cold - Sanni Pitham,Siddha,Cold condition in Siddha medicine Pitham,CA00,Common cold,Respiratory,equivalent,96.0,approved,,,சன்னி
SD1201,Fever - Suram Kabam,Siddha,Fever condition in Siddha medicine Kabam,MG30.0,Fever unspecified,Symptoms,equivalent,97.4,approved,,,சுரம்
SD1202,Diabetes - Neerizhevu Chronic,Siddha,Diabetes condition in Siddha medicine Chronic,5A11,Type 2 diabetes mellitus,Endocrine,equivalent,96.1,approved,,,நீரிழிவு
SD1203,Hypertension - Ratha Azhutham Acute,Siddha,Hypertension condition in Siddha medicine Acute,BA00,Essential hypertension,Circulatory,equivalent,96.5,approved,,,இரத்த அழுத்தம்
SD1204,Arthritis - Keel Vayu Primary,Siddha,Arthritis condition in Siddha medicine Primary,FB56.0,Joint pain unspecified,Musculoskeletal,equivalent,97.1,approved,,,கீல் வாயு
SD1205,Asthma - Irumal,Siddha,Asthma condition in Siddha medicine,CA23,Asthma,Respiratory,equivalent,95.1,approved,,,இருமல்
SD1206,Headache - Thalai Noi Vatham,Siddha,Headache condition in Siddha medicine Vatham,8A84,Tension-type headache,Neurological,equivalent,97.4,approved,,,தலை நோய்
SD1207,Gastritis - Gunmam Pitham,Siddha,Gastritis condition in Siddha medicine Pitham,DA60,Gastritis,Digestive,equivalent,97.3,approved,,,குன்மம்
SD1208,Skin Disease - Thole Noi Kabam,Siddha,Skin Disease condition in Siddha medicine Kabam,EK90,Skin disease unspecified,Dermatological,equivalent,96.0,approved,,,தோல் நோய்
SD1209,Liver Disease - Kal Noi Chronic,Siddha,Liver Disease condition in Siddha medicine Chronic,DB90,Liver disease unspecified,Digestive,equivalent,97.9,approved,,,கல் நோய்
SD1210,Kidney Disease - Siruneer Noi Acute,Siddha,Kidney Disease condition in Siddha medicine Acute,GB90,Kidney disease unspecified,Genitourinary,equivalent,96.5,approved,,,சிறுநீர் நோய்
SD1211,Eye Disease - Kan Noi Primary,Siddha,Eye Disease condition in Siddha medicine Primary,9A00,Visual disturbance unspecified,Ophthalmological,equivalent,95.3,approved,,,கண் நோய்
SD1212,Ear Disease - Kadhu Noi,Siddha,Ear Disease condition in Siddha medicine,AB00,Hearing loss unspecified,Otological,equivalent,97.6,approved,,,காது நோய்
SD1213,Mental Disorder - Mana Noi Vatham,Siddha,Mental Disorder condition in Siddha medicine Vatham,6E61,Mental disorder unspecified,Mental,equivalent,95.1,approved,,,மன நோய்
SD1214,Blood Disease - Ratha Noi Pitham,Siddha,Blood Disease condition in Siddha medicine Pitham,3D90,Blood disorder unspecified,Blood,equivalent,96.0,approved,,,இரத்த நோய்
SD1215,Bone Disease - Elumbu Noi Kabam,Siddha,Bone Disease condition in Siddha medicine Kabam,FB83,Bone disease unspecified,Musculoskeletal,equivalent,95.8,approved,,,எலும்பு நோய்
SD1216,Paralysis - Pakka Vatham Chronic,Siddha,Paralysis condition in Siddha medicine Chronic,8B20,Hemiplegia,Neurological,equivalent,95.3,approved,,,பக்க வாதம்
SD1217,Epilepsy - Vali Noi Acute,Siddha,Epilepsy condition in Siddha medicine Acute,8A61,Epilepsy,Neurological,equivalent,97.0,approved,,,வலி நோய்
SD1218,Diarrhea - Kallichal Primary,Siddha,Diarrhea condition in Siddha medicine Primary,1E10,Diarrhoea,Digestive,equivalent,96.8,approved,,,கல்லிச்சல்
SD1219,Cough - Irumal Kanam,Siddha,Cough condition in Siddha medicine,MD11,Cough,Respiratory,equivalent,95.7,approved,,,இருமல் கானம்
SD1220,Cold - Sanni Vatham,Siddha,Cold condition in Siddha medicine Vatham,CA00,Common cold,Respiratory,equivalent,97.4,approved,,,சன்னி
SD1221,Fever - Suram Pitham,Siddha,Fever condition in Siddha medicine Pitham,MG30.0,Fever unspecified,Symptoms,equivalent,96.7,approved,,,சுரம்
SD1222,Diabetes - Neerizhevu Kabam,Siddha,Diabetes condition in Siddha medicine Kabam,5A11,Type 2 diabetes mellitus,Endocrine,equivalent,95.7,approved,,,நீரிழிவு
SD1223,Hypertension - Ratha Azhutham Chronic,Siddha,Hypertension condition in Siddha medicine Chronic,BA00,Essential hypertension,Circulatory,equivalent,96.2,approved,,,இரத்த அழுத்தம்
SD1224,Arthritis - Keel Vayu Acute,Siddha,Arthritis condition in Siddha medicine Acute,FB56.0,Joint pain unspecified,Musculoskeletal,equivalent,96.2,approved,,,கீல் வாயு
SD1225,Asthma - Irumal Primary,Siddha,Asthma condition in Siddha medicine Primary,CA23,Asthma,Respiratory,equivalent,96.1,approved,,,இருமல்
SD1226,Headache - Thalai Noi,Siddha,Headache condition in Siddha medicine,8A84,Tension-type headache,Neurological,equivalent,97.5,approved,,,தலை நோய்
SD1227,Gastritis - Gunmam Vatham,Siddha,Gastritis condition in Siddha medicine Vatham,DA60,Gastritis,Digestive,equivalent,95.9,approved,,,குன்மம்
SD1228,Skin Disease - Thole Noi Pitham,Siddha,Skin Disease condition in Siddha medicine Pitham,EK90,Skin disease unspecified,Dermatological,equivalent,95.6,approved,,,தோல் நோய்
SD1229,Liver Disease - Kal Noi Kabam,Siddha,Liver Disease condition in Siddha medicine Kabam,DB90,Liver disease unspecified,Digestive,equivalent,96.1,approved,,,கல் நோய்
